227:Total Time:7.33884
254:Total Time:8.19824
278:Total Time:8.21409
302:Total Time:8.19868
326:Total Time:8.20098
350:Total Time:8.27993
374:Total Time:9.24788
398:Total Time:9.2512
422:Total Time:9.24028
446:Total Time:9.26088
470:Total Time:9.25899
494:Total Time:9.24584
518:Total Time:9.26285
542:Total Time:9.2289
566:Total Time:9.24316
590:Total Time:9.25522
614:Total Time:9.25369
638:Total Time:9.2351
662:Total Time:9.2477
686:Total Time:9.27812
710:Total Time:9.26259
734:Total Time:9.25401
758:Total Time:9.2543
782:Total Time:9.23934
806:Total Time:9.24117
830:Total Time:9.26911
854:Total Time:9.25202
878:Total Time:9.24275
902:Total Time:9.23303
926:Total Time:9.26303
950:Total Time:9.26926
974:Total Time:9.25813
998:Total Time:9.24426
1022:Total Time:9.25162
1046:Total Time:9.24268
1070:Total Time:9.2607
1094:Total Time:9.25848
1118:Total Time:9.24756
1142:Total Time:9.26171
1166:Total Time:9.28859
1190:Total Time:9.26081
1214:Total Time:9.26615
1238:Total Time:9.25211
1262:Total Time:9.26765
1286:Total Time:9.25651
1310:Total Time:9.25127
1334:Total Time:9.25856
1358:Total Time:9.25499
1382:Total Time:9.24986
1406:Total Time:9.24085
1430:Total Time:9.26975
1454:Total Time:9.26775
1478:Total Time:9.23128
1502:Total Time:9.23922
1526:Total Time:9.24405
1550:Total Time:9.27087
1574:Total Time:9.37183

