216:preconditon Time:4.44728
228:preconditon Time:0.609518
243:preconditon Time:4.45272
255:preconditon Time:0.602985
267:preconditon Time:4.42497
279:preconditon Time:0.606689
291:preconditon Time:4.44826
303:preconditon Time:0.601075
315:preconditon Time:4.44766
327:preconditon Time:0.607869
339:preconditon Time:4.51727
351:preconditon Time:0.606899
363:preconditon Time:4.42664
375:preconditon Time:0.600157
387:preconditon Time:4.43501
399:preconditon Time:0.60206
411:preconditon Time:4.42647
423:preconditon Time:0.609896
435:preconditon Time:4.44584
447:preconditon Time:0.60283
459:preconditon Time:4.43302
471:preconditon Time:0.601839
483:preconditon Time:4.44681
495:preconditon Time:0.600639
507:preconditon Time:4.45629
519:preconditon Time:0.618837
531:preconditon Time:4.43288
543:preconditon Time:0.604606
555:preconditon Time:4.44079
567:preconditon Time:0.605072
579:preconditon Time:4.44991
591:preconditon Time:0.610683
603:preconditon Time:4.44737
615:preconditon Time:0.601088
627:preconditon Time:4.43484
639:preconditon Time:0.603842
651:preconditon Time:4.4347
663:preconditon Time:0.606222
675:preconditon Time:4.44698
687:preconditon Time:0.608555
699:preconditon Time:4.4356
711:preconditon Time:0.606807
723:preconditon Time:4.43091
735:preconditon Time:0.601899
747:preconditon Time:4.43237
759:preconditon Time:0.602182
771:preconditon Time:4.42472
783:preconditon Time:0.60203
795:preconditon Time:4.42454
807:preconditon Time:0.603753
819:preconditon Time:4.44809
831:preconditon Time:0.603816
843:preconditon Time:4.43183
855:preconditon Time:0.603996
867:preconditon Time:4.42147
879:preconditon Time:0.600032
891:preconditon Time:4.42225
903:preconditon Time:0.598489
915:preconditon Time:4.44947
927:preconditon Time:0.604723
939:preconditon Time:4.43641
951:preconditon Time:0.60742
963:preconditon Time:4.44134
975:preconditon Time:0.600945
987:preconditon Time:4.43008
999:preconditon Time:0.605137
1011:preconditon Time:4.43793
1023:preconditon Time:0.59913
1035:preconditon Time:4.42831
1047:preconditon Time:0.60167
1059:preconditon Time:4.4391
1071:preconditon Time:0.603308
1083:preconditon Time:4.43877
1095:preconditon Time:0.599766
1107:preconditon Time:4.43345
1119:preconditon Time:0.615179
1131:preconditon Time:4.44407
1143:preconditon Time:0.601367
1155:preconditon Time:4.46267
1167:preconditon Time:0.602766
1179:preconditon Time:4.43847
1191:preconditon Time:0.604046
1203:preconditon Time:4.44404
1215:preconditon Time:0.603964
1227:preconditon Time:4.43743
1239:preconditon Time:0.602979
1251:preconditon Time:4.44668
1263:preconditon Time:0.604217
1275:preconditon Time:4.43455
1287:preconditon Time:0.618919
1299:preconditon Time:4.43399
1311:preconditon Time:0.604724
1323:preconditon Time:4.44374
1335:preconditon Time:0.605603
1347:preconditon Time:4.44416
1359:preconditon Time:0.60635
1371:preconditon Time:4.43363
1383:preconditon Time:0.599414
1395:preconditon Time:4.4253
1407:preconditon Time:0.603082
1419:preconditon Time:4.44837
1431:preconditon Time:0.603413
1443:preconditon Time:4.44878
1455:preconditon Time:0.60266
1467:preconditon Time:4.41979
1479:preconditon Time:0.603189
1491:preconditon Time:4.42829
1503:preconditon Time:0.598965
1515:preconditon Time:4.43036
1527:preconditon Time:0.59903
1539:preconditon Time:4.44801
1551:preconditon Time:0.605328
1563:preconditon Time:4.53926
1575:preconditon Time:0.603345

