222:Smoother Time:0.653746
234:Smoother Time:0.075378
249:Smoother Time:0.651708
261:Smoother Time:0.073924
273:Smoother Time:0.656051
285:Smoother Time:0.073394
297:Smoother Time:0.651545
309:Smoother Time:0.07297
321:Smoother Time:0.652058
333:Smoother Time:0.075274
345:Smoother Time:0.653929
357:Smoother Time:0.073416
369:Smoother Time:0.650718
381:Smoother Time:0.072933
393:Smoother Time:0.650926
405:Smoother Time:0.073702
417:Smoother Time:0.653912
429:Smoother Time:0.073192
441:Smoother Time:0.65204
453:Smoother Time:0.072869
465:Smoother Time:0.651368
477:Smoother Time:0.072926
489:Smoother Time:0.651522
501:Smoother Time:0.073657
513:Smoother Time:0.655349
525:Smoother Time:0.074448
537:Smoother Time:0.652011
549:Smoother Time:0.074997
561:Smoother Time:0.655833
573:Smoother Time:0.072989
585:Smoother Time:0.651996
597:Smoother Time:0.074812
609:Smoother Time:0.653958
621:Smoother Time:0.073268
633:Smoother Time:0.651292
645:Smoother Time:0.072728
657:Smoother Time:0.651564
669:Smoother Time:0.07375
681:Smoother Time:0.656175
693:Smoother Time:0.07332
705:Smoother Time:0.653684
717:Smoother Time:0.07428
729:Smoother Time:0.652864
741:Smoother Time:0.073977
753:Smoother Time:0.653154
765:Smoother Time:0.074815
777:Smoother Time:0.650446
789:Smoother Time:0.073335
801:Smoother Time:0.651484
813:Smoother Time:0.07384
825:Smoother Time:0.651547
837:Smoother Time:0.073146
849:Smoother Time:0.653091
861:Smoother Time:0.074279
873:Smoother Time:0.651473
885:Smoother Time:0.073045
897:Smoother Time:0.650979
909:Smoother Time:0.07275
921:Smoother Time:0.651612
933:Smoother Time:0.073462
945:Smoother Time:0.65504
957:Smoother Time:0.07387
969:Smoother Time:0.651346
981:Smoother Time:0.0753
993:Smoother Time:0.651655
1005:Smoother Time:0.07419
1017:Smoother Time:0.651925
1029:Smoother Time:0.073884
1041:Smoother Time:0.649755
1053:Smoother Time:0.07271
1065:Smoother Time:0.652126
1077:Smoother Time:0.073625
1089:Smoother Time:0.650573
1101:Smoother Time:0.073923
1113:Smoother Time:0.649585
1125:Smoother Time:0.073091
1137:Smoother Time:0.65006
1149:Smoother Time:0.073049
1161:Smoother Time:0.653404
1173:Smoother Time:0.073496
1185:Smoother Time:0.65482
1197:Smoother Time:0.075048
1209:Smoother Time:0.651595
1221:Smoother Time:0.072477
1233:Smoother Time:0.651782
1245:Smoother Time:0.07279
1257:Smoother Time:0.650819
1269:Smoother Time:0.073023
1281:Smoother Time:0.653538
1293:Smoother Time:0.075302
1305:Smoother Time:0.652598
1317:Smoother Time:0.073218
1329:Smoother Time:0.650698
1341:Smoother Time:0.074818
1353:Smoother Time:0.651295
1365:Smoother Time:0.073619
1377:Smoother Time:0.651288
1389:Smoother Time:0.074183
1401:Smoother Time:0.64912
1413:Smoother Time:0.074484
1425:Smoother Time:0.652564
1437:Smoother Time:0.074577
1449:Smoother Time:0.652115
1461:Smoother Time:0.073095
1473:Smoother Time:0.650696
1485:Smoother Time:0.073501
1497:Smoother Time:0.65173
1509:Smoother Time:0.072912
1521:Smoother Time:0.65155
1533:Smoother Time:0.074438
1545:Smoother Time:0.652342
1557:Smoother Time:0.074044
1569:Smoother Time:0.65041
1581:Smoother Time:0.074156

