"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.860683779,      -8.653783124,      -8.529461982,      -10.01201316,       1.647272564,      -8.596966869
          0,           0,           1,      -3.879885216,      -1.896747019,      -1.562910233,      -1.556698324,       1.638540124,      -8.739543653
          0,           0,           2,      -4.128153532,      -1.925120439,      -1.837859391,      -1.849322671,       1.388839053,      -8.790717898
          0,           0,           3,      -4.265322324,      -1.968993514,       -1.91663193,      -1.930652572,       1.248918719,      -8.793057298
          0,           0,           4,      -4.331048818,       -2.01990956,      -1.952797974,        -1.9630714,       1.181638548,      -8.799192846
          0,           0,           5,      -4.366469972,      -2.059206609,      -1.977197253,      -1.987526462,       1.145457947,      -8.815817525
          0,           0,           6,      -4.390131376,      -2.090298136,      -1.995159334,      -2.005995432,       1.120986599,      -8.841599533
          0,           0,           7,      -4.406592553,      -2.112858988,      -2.008236814,      -2.018649528,       1.103811512,      -8.854873341
          0,           0,           8,      -4.418016584,      -2.128483163,      -2.017615505,      -2.027432123,        1.09183273,      -8.864682496
          0,           0,           9,      -4.425916955,      -2.139266282,      -2.023643207,      -2.032729641,       1.083456919,      -8.872576529
          0,           0,          10,      -4.430782366,      -2.146231343,      -2.026759703,      -2.034954447,       1.078143078,      -8.878129348
          0,           0,          11,      -4.432994888,       -2.15008611,      -2.027242568,      -2.034396398,       1.075477856,      -8.881145147
          0,           0,          12,       -4.43280543,      -2.151180091,      -2.025218782,      -2.031236495,       1.075184641,      -8.881713809
          0,           0,          13,      -4.430395861,      -2.149895164,      -2.020756858,       -2.02564404,       1.077051919,      -8.880062105
          0,           0,          14,      -4.425856258,      -2.146351149,      -2.014007094,      -2.017817367,       1.080972664,      -8.876388332
          0,           0,          15,      -4.419297854,      -2.140731488,      -2.005089489,      -2.007951007,       1.086817769,      -8.870869358
          0,           0,          16,      -4.410829975,      -2.133225534,      -1.994195215,       -1.99627505,       1.094475894,      -8.863618937
          0,           0,          17,      -4.400597637,      -2.124011573,      -1.981563069,      -1.983104857,       1.103802618,      -8.854768338
          0,           0,          18,      -4.388783611,      -2.113303126,      -1.967468439,      -1.968735966,        1.11462009,      -8.844485597
          0,           0,          19,      -4.375624006,      -2.101356082,      -1.952203778,      -1.953390206,        1.12670022,      -8.833027326
          0,           0,          20,      -4.361323188,      -2.088343115,      -1.936057383,      -1.937360334,       1.139854611,      -8.820645101
          0,           0,          21,      -4.346130596,      -2.074468183,      -1.919343173,      -1.920880309,        1.15384698,      -8.807376167
